id_municipio,nome,sigla_uf,idhm_e,idhm_r,renda_pc,indice_gini,prop_pobreza,taxa_analfabetismo_15_mais,expectativa_anos_estudo,taxa_desocupacao,ideb
2905909,Campo Alegre de Lourdes,BA,0.43,0.516,199.01,0.61,58.96,27.96,8.88,7.29,3
2906006,Campo Formoso,BA,0.475,0.566,270.05,0.57,46.53,24.55,8.41,7.93,3.4
2906105,Canápolis,BA,0.463,0.531,217.86,0.49,47.06,3.09,8.08,7.84,2.8
2906204,Canarana,BA,0.496,0.555,252.39,0.48,42.2,19.01,9.25,7.18,3.3
2906402,Candeal,BA,0.465,0.554,251.54,0.44,36.55,25.73,8.44,5.88,2.4
2906501,Candeias,BA,0.616,0.652,462.57,0.48,17.44,9.08,9.11,18.52,3.1
2906600,Candiba,BA,0.481,0.578,290.99,0.44,29.91,25.63,9.13,5.77,2.9
2906808,Cansanção,BA,0.438,0.53,216.24,0.57,53.28,28.93,8.72,4.25,2.7
2906824,Canudos,BA,0.453,0.554,251.59,0.53,43.76,25.23,8.77,6.98,2.6
2906857,Capela do Alto Alegre,BA,0.48,0.582,299.05,0.49,35.22,27.98,8.44,6.75,4.2
2906873,Capim Grosso,BA,0.514,0.62,378.85,0.54,28.06,20.75,8.4,10.46,2.9
2906899,Caraíbas,BA,0.405,0.57,277.97,0.49,36.8,32.86,7.82,7.44,3.1
2906907,Caravelas,BA,0.473,0.626,394.43,0.56,34.46,24.95,7.47,13.87,3
2907004,Cardeal da Silva,BA,0.437,0.523,207.42,0.52,54.04,23.01,7.59,24.88,3.1
2907103,Carinhanha,BA,0.477,0.525,209.51,0.51,47.47,25.91,8.79,9,4.5
2907202,Casa Nova,BA,0.435,0.577,289.24,0.54,37.38,24.86,8.15,8.21,2.8
2907301,Castro Alves,BA,0.504,0.591,31.61,0.54,34.72,22.66,7.6,9.04,3.1
2907400,Catolândia,BA,0.452,0.554,251.21,0.51,42.42,25.58,10.13,3.83,2.8
